zipcode,returns,income,mean_income
28207,4470,2462295000,550848.9933
28211,14060,3317607000,235960.6686
27608,5690,1125055000,197724.9561
28480,1510,241022000,159617.2185
27517,12710,1966011000,154682.2187
27614,15670,2408012000,153670.1978
28173,21880,3157328000,144302.011
28036,7640,1090531000,142739.6597
27408,9100,1285022000,141211.2088
28226,19240,2703856000,140533.0561
27518,10210,1365171000,133709.2067
28031,13940,1821502000,130667.2884
28117,19240,2494596000,129656.7568
28277,31000,3969519000,128049
27358,6300,796824000,126480
27104,14730,1834414000,124535.9131
27514,11020,1365858000,123943.5572
27519,23490,2901456000,123518.7739
27310,3470,424675000,122384.7262
28104,13590,1585025000,116631.7145
28210,23190,2672356000,115237.4299
28374,8170,920700000,112692.7785
28270,15250,1700656000,111518.4262
28203,9510,1055208000,110957.7287
28202,7230,773334000,106961.8257
27513,21450,2289753000,106748.3916
27516,16720,1763469000,105470.634
28209,11660,1219542000,104591.9383
27023,5870,609817000,103887.0528
27607,9610,969899000,100926.0146
28668,140,14120000,100857.1429
27615,22300,2243261000,100594.6637
27539,10120,1001584000,98970.75099
28037,9460,922770000,97544.39746
28682,600,58286000,97143.33333
27613,22730,2185280000,96140.78311
27455,13510,1288524000,95375.57365
28078,26470,2493222000,94190.47979
27927,520,48963000,94159.61538
27502,16870,1564269000,92724.89627
28204,3600,332968000,92491.11111
28605,1870,171724000,91831.01604
27609,18050,1645189000,91146.20499
27612,20450,1863920000,91145.23227
27587,27480,2494299000,90767.79476
27503,1690,153275000,90695.26627
27540,15120,1356075000,89687.5
27235,2150,191502000,89070.69767
28409,14720,1310271000,89012.97554
27523,4580,406971000,88858.29694
27006,6650,587204000,88301.35338
28278,11880,1048888000,88290.23569
28469,3480,306642000,88115.51724
27617,10380,914089000,88062.52408
28804,10260,897007000,87427.58285
27560,14540,1264395000,86959.76616
28673,2840,245290000,86369.71831
28741,1670,143757000,86082.03593
27106,20860,1774543000,85069.17546
27605,3430,291495000,84983.96501
28032,1530,129381000,84562.7451
27981,750,62899000,83865.33333
28075,8500,709509000,83471.64706
28594,2100,174957000,83312.85714
27312,9530,793128000,83224.34418
27012,12850,1062626000,82694.63035
28449,960,79140000,82437.5
27571,2840,233896000,82357.74648
28305,2910,239119000,82171.47766
27949,4280,349530000,81665.88785
28803,15170,1230888000,81139.61767
27527,10060,815348000,81048.50895
27410,26910,2173798000,80780.30472
28461,9510,767944000,80751.20925
28101,270,21258000,78733.33333
27712,10310,805935000,78170.22308
